,DATE,CPIAUCSL
0,2013-06-01,232.445
1,2013-06-02,232.445
2,2013-06-03,232.445
3,2013-06-04,232.445
4,2013-06-05,232.445
5,2013-06-06,232.445
6,2013-06-07,232.445
7,2013-06-08,232.445
8,2013-06-09,232.445
9,2013-06-10,232.445
10,2013-06-11,232.445
11,2013-06-12,232.445
12,2013-06-13,232.445
13,2013-06-14,232.445
14,2013-06-15,232.445
15,2013-06-16,232.445
16,2013-06-17,232.445
17,2013-06-18,232.445
18,2013-06-19,232.445
19,2013-06-20,232.445
20,2013-06-21,232.445
21,2013-06-22,232.445
22,2013-06-23,232.445
23,2013-06-24,232.445
24,2013-06-25,232.445
25,2013-06-26,232.445
26,2013-06-27,232.445
27,2013-06-28,232.445
28,2013-06-29,232.445
29,2013-06-30,232.445
30,2013-07-01,232.9
31,2013-07-02,232.9
32,2013-07-03,232.9
33,2013-07-04,232.9
34,2013-07-05,232.9
35,2013-07-06,232.9
36,2013-07-07,232.9
37,2013-07-08,232.9
38,2013-07-09,232.9
39,2013-07-10,232.9
40,2013-07-11,232.9
41,2013-07-12,232.9
42,2013-07-13,232.9
43,2013-07-14,232.9
44,2013-07-15,232.9
45,2013-07-16,232.9
46,2013-07-17,232.9
47,2013-07-18,232.9
48,2013-07-19,232.9
49,2013-07-20,232.9
50,2013-07-21,232.9
51,2013-07-22,232.9
52,2013-07-23,232.9
53,2013-07-24,232.9
54,2013-07-25,232.9
55,2013-07-26,232.9
56,2013-07-27,232.9
57,2013-07-28,232.9
58,2013-07-29,232.9
59,2013-07-30,232.9
60,2013-07-31,232.9
61,2013-08-01,233.456
62,2013-08-02,233.456
63,2013-08-03,233.456
64,2013-08-04,233.456
65,2013-08-05,233.456
66,2013-08-06,233.456
67,2013-08-07,233.456
68,2013-08-08,233.456
69,2013-08-09,233.456
70,2013-08-10,233.456
71,2013-08-11,233.456
72,2013-08-12,233.456
73,2013-08-13,233.456
74,2013-08-14,233.456
75,2013-08-15,233.456
76,2013-08-16,233.456
77,2013-08-17,233.456
78,2013-08-18,233.456
79,2013-08-19,233.456
80,2013-08-20,233.456
81,2013-08-21,233.456
82,2013-08-22,233.456
83,2013-08-23,233.456
84,2013-08-24,233.456
85,2013-08-25,233.456
86,2013-08-26,233.456
87,2013-08-27,233.456
88,2013-08-28,233.456
89,2013-08-29,233.456
90,2013-08-30,233.456
91,2013-08-31,233.456
92,2013-09-01,233.544
93,2013-09-02,233.544
94,2013-09-03,233.544
95,2013-09-04,233.544
96,2013-09-05,233.544
97,2013-09-06,233.544
98,2013-09-07,233.544
99,2013-09-08,233.544
100,2013-09-09,233.544
101,2013-09-10,233.544
102,2013-09-11,233.544
103,2013-09-12,233.544
104,2013-09-13,233.544
105,2013-09-14,233.544
106,2013-09-15,233.544
107,2013-09-16,233.544
108,2013-09-17,233.544
109,2013-09-18,233.544
110,2013-09-19,233.544
111,2013-09-20,233.544
112,2013-09-21,233.544
113,2013-09-22,233.544
114,2013-09-23,233.544
115,2013-09-24,233.544
116,2013-09-25,233.544
117,2013-09-26,233.544
118,2013-09-27,233.544
119,2013-09-28,233.544
120,2013-09-29,233.544
121,2013-09-30,233.544
122,2013-10-01,233.669
123,2013-10-02,233.669
124,2013-10-03,233.669
125,2013-10-04,233.669
126,2013-10-05,233.669
127,2013-10-06,233.669
128,2013-10-07,233.669
129,2013-10-08,233.669
130,2013-10-09,233.669
131,2013-10-10,233.669
132,2013-10-11,233.669
133,2013-10-12,233.669
134,2013-10-13,233.669
135,2013-10-14,233.669
136,2013-10-15,233.669
137,2013-10-16,233.669
138,2013-10-17,233.669
139,2013-10-18,233.669
140,2013-10-19,233.669
141,2013-10-20,233.669
142,2013-10-21,233.669
143,2013-10-22,233.669
144,2013-10-23,233.669
145,2013-10-24,233.669
146,2013-10-25,233.669
147,2013-10-26,233.669
148,2013-10-27,233.669
149,2013-10-28,233.669
150,2013-10-29,233.669
151,2013-10-30,233.669
152,2013-10-31,233.669
153,2013-11-01,234.1
154,2013-11-02,234.1
155,2013-11-03,234.1
156,2013-11-04,234.1
157,2013-11-05,234.1
158,2013-11-06,234.1
159,2013-11-07,234.1
160,2013-11-08,234.1
161,2013-11-09,234.1
162,2013-11-10,234.1
163,2013-11-11,234.1
164,2013-11-12,234.1
165,2013-11-13,234.1
166,2013-11-14,234.1
167,2013-11-15,234.1
168,2013-11-16,234.1
169,2013-11-17,234.1
170,2013-11-18,234.1
171,2013-11-19,234.1
172,2013-11-20,234.1
173,2013-11-21,234.1
174,2013-11-22,234.1
175,2013-11-23,234.1
176,2013-11-24,234.1
177,2013-11-25,234.1
178,2013-11-26,234.1
179,2013-11-27,234.1
180,2013-11-28,234.1
181,2013-11-29,234.1
182,2013-11-30,234.1
183,2013-12-01,234.719
184,2013-12-02,234.719
185,2013-12-03,234.719
186,2013-12-04,234.719
187,2013-12-05,234.719
188,2013-12-06,234.719
189,2013-12-07,234.719
190,2013-12-08,234.719
191,2013-12-09,234.719
192,2013-12-10,234.719
193,2013-12-11,234.719
194,2013-12-12,234.719
195,2013-12-13,234.719
196,2013-12-14,234.719
197,2013-12-15,234.719
198,2013-12-16,234.719
199,2013-12-17,234.719
200,2013-12-18,234.719
201,2013-12-19,234.719
202,2013-12-20,234.719
203,2013-12-21,234.719
204,2013-12-22,234.719
205,2013-12-23,234.719
206,2013-12-24,234.719
207,2013-12-25,234.719
208,2013-12-26,234.719
209,2013-12-27,234.719
210,2013-12-28,234.719
211,2013-12-29,234.719
212,2013-12-30,234.719
213,2013-12-31,234.719
214,2014-01-01,235.288
215,2014-01-02,235.288
216,2014-01-03,235.288
217,2014-01-04,235.288
218,2014-01-05,235.288
219,2014-01-06,235.288
220,2014-01-07,235.288
221,2014-01-08,235.288
