,DATE,PAYEMS
0,2013-06-01,136269
1,2013-06-02,136269
2,2013-06-03,136269
3,2013-06-04,136269
4,2013-06-05,136269
5,2013-06-06,136269
6,2013-06-07,136269
7,2013-06-08,136269
8,2013-06-09,136269
9,2013-06-10,136269
10,2013-06-11,136269
11,2013-06-12,136269
12,2013-06-13,136269
13,2013-06-14,136269
14,2013-06-15,136269
15,2013-06-16,136269
16,2013-06-17,136269
17,2013-06-18,136269
18,2013-06-19,136269
19,2013-06-20,136269
20,2013-06-21,136269
21,2013-06-22,136269
22,2013-06-23,136269
23,2013-06-24,136269
24,2013-06-25,136269
25,2013-06-26,136269
26,2013-06-27,136269
27,2013-06-28,136269
28,2013-06-29,136269
29,2013-06-30,136269
30,2013-07-01,136391
31,2013-07-02,136391
32,2013-07-03,136391
33,2013-07-04,136391
34,2013-07-05,136391
35,2013-07-06,136391
36,2013-07-07,136391
37,2013-07-08,136391
38,2013-07-09,136391
39,2013-07-10,136391
40,2013-07-11,136391
41,2013-07-12,136391
42,2013-07-13,136391
43,2013-07-14,136391
44,2013-07-15,136391
45,2013-07-16,136391
46,2013-07-17,136391
47,2013-07-18,136391
48,2013-07-19,136391
49,2013-07-20,136391
50,2013-07-21,136391
51,2013-07-22,136391
52,2013-07-23,136391
53,2013-07-24,136391
54,2013-07-25,136391
55,2013-07-26,136391
56,2013-07-27,136391
57,2013-07-28,136391
58,2013-07-29,136391
59,2013-07-30,136391
60,2013-07-31,136391
61,2013-08-01,136635
62,2013-08-02,136635
63,2013-08-03,136635
64,2013-08-04,136635
65,2013-08-05,136635
66,2013-08-06,136635
67,2013-08-07,136635
68,2013-08-08,136635
69,2013-08-09,136635
70,2013-08-10,136635
71,2013-08-11,136635
72,2013-08-12,136635
73,2013-08-13,136635
74,2013-08-14,136635
75,2013-08-15,136635
76,2013-08-16,136635
77,2013-08-17,136635
78,2013-08-18,136635
79,2013-08-19,136635
80,2013-08-20,136635
81,2013-08-21,136635
82,2013-08-22,136635
83,2013-08-23,136635
84,2013-08-24,136635
85,2013-08-25,136635
86,2013-08-26,136635
87,2013-08-27,136635
88,2013-08-28,136635
89,2013-08-29,136635
90,2013-08-30,136635
91,2013-08-31,136635
92,2013-09-01,136819
93,2013-09-02,136819
94,2013-09-03,136819
95,2013-09-04,136819
96,2013-09-05,136819
97,2013-09-06,136819
98,2013-09-07,136819
99,2013-09-08,136819
100,2013-09-09,136819
101,2013-09-10,136819
102,2013-09-11,136819
103,2013-09-12,136819
104,2013-09-13,136819
105,2013-09-14,136819
106,2013-09-15,136819
107,2013-09-16,136819
108,2013-09-17,136819
109,2013-09-18,136819
110,2013-09-19,136819
111,2013-09-20,136819
112,2013-09-21,136819
113,2013-09-22,136819
114,2013-09-23,136819
115,2013-09-24,136819
116,2013-09-25,136819
117,2013-09-26,136819
118,2013-09-27,136819
119,2013-09-28,136819
120,2013-09-29,136819
121,2013-09-30,136819
122,2013-10-01,137039
123,2013-10-02,137039
124,2013-10-03,137039
125,2013-10-04,137039
126,2013-10-05,137039
127,2013-10-06,137039
128,2013-10-07,137039
129,2013-10-08,137039
130,2013-10-09,137039
131,2013-10-10,137039
132,2013-10-11,137039
133,2013-10-12,137039
134,2013-10-13,137039
135,2013-10-14,137039
136,2013-10-15,137039
137,2013-10-16,137039
138,2013-10-17,137039
139,2013-10-18,137039
140,2013-10-19,137039
141,2013-10-20,137039
142,2013-10-21,137039
143,2013-10-22,137039
144,2013-10-23,137039
145,2013-10-24,137039
146,2013-10-25,137039
147,2013-10-26,137039
148,2013-10-27,137039
149,2013-10-28,137039
150,2013-10-29,137039
151,2013-10-30,137039
152,2013-10-31,137039
153,2013-11-01,137314
154,2013-11-02,137314
155,2013-11-03,137314
156,2013-11-04,137314
157,2013-11-05,137314
158,2013-11-06,137314
159,2013-11-07,137314
160,2013-11-08,137314
161,2013-11-09,137314
162,2013-11-10,137314
163,2013-11-11,137314
164,2013-11-12,137314
165,2013-11-13,137314
166,2013-11-14,137314
167,2013-11-15,137314
168,2013-11-16,137314
169,2013-11-17,137314
170,2013-11-18,137314
171,2013-11-19,137314
172,2013-11-20,137314
173,2013-11-21,137314
174,2013-11-22,137314
175,2013-11-23,137314
176,2013-11-24,137314
177,2013-11-25,137314
178,2013-11-26,137314
179,2013-11-27,137314
180,2013-11-28,137314
181,2013-11-29,137314
182,2013-11-30,137314
183,2013-12-01,137368
184,2013-12-02,137368
185,2013-12-03,137368
186,2013-12-04,137368
187,2013-12-05,137368
188,2013-12-06,137368
189,2013-12-07,137368
190,2013-12-08,137368
191,2013-12-09,137368
192,2013-12-10,137368
193,2013-12-11,137368
194,2013-12-12,137368
195,2013-12-13,137368
196,2013-12-14,137368
197,2013-12-15,137368
198,2013-12-16,137368
199,2013-12-17,137368
200,2013-12-18,137368
201,2013-12-19,137368
202,2013-12-20,137368
203,2013-12-21,137368
204,2013-12-22,137368
205,2013-12-23,137368
206,2013-12-24,137368
207,2013-12-25,137368
208,2013-12-26,137368
209,2013-12-27,137368
210,2013-12-28,137368
211,2013-12-29,137368
212,2013-12-30,137368
213,2013-12-31,137368
214,2014-01-01,137552
215,2014-01-02,137552
216,2014-01-03,137552
217,2014-01-04,137552
218,2014-01-05,137552
219,2014-01-06,137552
220,2014-01-07,137552
221,2014-01-08,137552
222,2014-01-09,137552
223,2014-01-10,137552
224,2014-01-11,137552
225,2014-01-12,137552
226,2014-01-13,137552
227,2014-01-14,137552
228,2014-01-15,137552
229,2014-01-16,137552
230,2014-01-17,137552
231,2014-01-18,137552
