,DATE,PPIACO
0,2013-06-01,204.3
1,2013-06-02,204.3
2,2013-06-03,204.3
3,2013-06-04,204.3
4,2013-06-05,204.3
5,2013-06-06,204.3
6,2013-06-07,204.3
7,2013-06-08,204.3
8,2013-06-09,204.3
9,2013-06-10,204.3
10,2013-06-11,204.3
11,2013-06-12,204.3
12,2013-06-13,204.3
13,2013-06-14,204.3
14,2013-06-15,204.3
15,2013-06-16,204.3
16,2013-06-17,204.3
17,2013-06-18,204.3
18,2013-06-19,204.3
19,2013-06-20,204.3
20,2013-06-21,204.3
21,2013-06-22,204.3
22,2013-06-23,204.3
23,2013-06-24,204.3
24,2013-06-25,204.3
25,2013-06-26,204.3
26,2013-06-27,204.3
27,2013-06-28,204.3
28,2013-06-29,204.3
29,2013-06-30,204.3
30,2013-07-01,204.4
31,2013-07-02,204.4
32,2013-07-03,204.4
33,2013-07-04,204.4
34,2013-07-05,204.4
35,2013-07-06,204.4
36,2013-07-07,204.4
37,2013-07-08,204.4
38,2013-07-09,204.4
39,2013-07-10,204.4
40,2013-07-11,204.4
41,2013-07-12,204.4
42,2013-07-13,204.4
43,2013-07-14,204.4
44,2013-07-15,204.4
45,2013-07-16,204.4
46,2013-07-17,204.4
47,2013-07-18,204.4
48,2013-07-19,204.4
49,2013-07-20,204.4
50,2013-07-21,204.4
51,2013-07-22,204.4
52,2013-07-23,204.4
53,2013-07-24,204.4
54,2013-07-25,204.4
55,2013-07-26,204.4
56,2013-07-27,204.4
57,2013-07-28,204.4
58,2013-07-29,204.4
59,2013-07-30,204.4
60,2013-07-31,204.4
61,2013-08-01,204.2
62,2013-08-02,204.2
63,2013-08-03,204.2
64,2013-08-04,204.2
65,2013-08-05,204.2
66,2013-08-06,204.2
67,2013-08-07,204.2
68,2013-08-08,204.2
69,2013-08-09,204.2
70,2013-08-10,204.2
71,2013-08-11,204.2
72,2013-08-12,204.2
73,2013-08-13,204.2
74,2013-08-14,204.2
75,2013-08-15,204.2
76,2013-08-16,204.2
77,2013-08-17,204.2
78,2013-08-18,204.2
79,2013-08-19,204.2
80,2013-08-20,204.2
81,2013-08-21,204.2
82,2013-08-22,204.2
83,2013-08-23,204.2
84,2013-08-24,204.2
85,2013-08-25,204.2
86,2013-08-26,204.2
87,2013-08-27,204.2
88,2013-08-28,204.2
89,2013-08-29,204.2
90,2013-08-30,204.2
91,2013-08-31,204.2
92,2013-09-01,203.9
93,2013-09-02,203.9
94,2013-09-03,203.9
95,2013-09-04,203.9
96,2013-09-05,203.9
97,2013-09-06,203.9
98,2013-09-07,203.9
99,2013-09-08,203.9
100,2013-09-09,203.9
101,2013-09-10,203.9
102,2013-09-11,203.9
103,2013-09-12,203.9
104,2013-09-13,203.9
105,2013-09-14,203.9
106,2013-09-15,203.9
107,2013-09-16,203.9
108,2013-09-17,203.9
109,2013-09-18,203.9
110,2013-09-19,203.9
111,2013-09-20,203.9
112,2013-09-21,203.9
113,2013-09-22,203.9
114,2013-09-23,203.9
115,2013-09-24,203.9
116,2013-09-25,203.9
117,2013-09-26,203.9
118,2013-09-27,203.9
119,2013-09-28,203.9
120,2013-09-29,203.9
121,2013-09-30,203.9
122,2013-10-01,202.5
123,2013-10-02,202.5
124,2013-10-03,202.5
125,2013-10-04,202.5
126,2013-10-05,202.5
127,2013-10-06,202.5
128,2013-10-07,202.5
129,2013-10-08,202.5
130,2013-10-09,202.5
131,2013-10-10,202.5
132,2013-10-11,202.5
133,2013-10-12,202.5
134,2013-10-13,202.5
135,2013-10-14,202.5
136,2013-10-15,202.5
137,2013-10-16,202.5
138,2013-10-17,202.5
139,2013-10-18,202.5
140,2013-10-19,202.5
141,2013-10-20,202.5
142,2013-10-21,202.5
143,2013-10-22,202.5
144,2013-10-23,202.5
145,2013-10-24,202.5
146,2013-10-25,202.5
147,2013-10-26,202.5
148,2013-10-27,202.5
149,2013-10-28,202.5
150,2013-10-29,202.5
151,2013-10-30,202.5
152,2013-10-31,202.5
153,2013-11-01,201.2
154,2013-11-02,201.2
155,2013-11-03,201.2
156,2013-11-04,201.2
157,2013-11-05,201.2
158,2013-11-06,201.2
159,2013-11-07,201.2
160,2013-11-08,201.2
161,2013-11-09,201.2
162,2013-11-10,201.2
163,2013-11-11,201.2
164,2013-11-12,201.2
165,2013-11-13,201.2
166,2013-11-14,201.2
167,2013-11-15,201.2
168,2013-11-16,201.2
169,2013-11-17,201.2
170,2013-11-18,201.2
171,2013-11-19,201.2
172,2013-11-20,201.2
173,2013-11-21,201.2
174,2013-11-22,201.2
175,2013-11-23,201.2
176,2013-11-24,201.2
177,2013-11-25,201.2
178,2013-11-26,201.2
179,2013-11-27,201.2
180,2013-11-28,201.2
181,2013-11-29,201.2
182,2013-11-30,201.2
183,2013-12-01,202.0
184,2013-12-02,202.0
185,2013-12-03,202.0
186,2013-12-04,202.0
187,2013-12-05,202.0
188,2013-12-06,202.0
189,2013-12-07,202.0
190,2013-12-08,202.0
191,2013-12-09,202.0
192,2013-12-10,202.0
193,2013-12-11,202.0
194,2013-12-12,202.0
195,2013-12-13,202.0
196,2013-12-14,202.0
197,2013-12-15,202.0
198,2013-12-16,202.0
199,2013-12-17,202.0
200,2013-12-18,202.0
201,2013-12-19,202.0
202,2013-12-20,202.0
203,2013-12-21,202.0
204,2013-12-22,202.0
205,2013-12-23,202.0
206,2013-12-24,202.0
207,2013-12-25,202.0
208,2013-12-26,202.0
209,2013-12-27,202.0
210,2013-12-28,202.0
211,2013-12-29,202.0
212,2013-12-30,202.0
213,2013-12-31,202.0
214,2014-01-01,203.8
215,2014-01-02,203.8
216,2014-01-03,203.8
217,2014-01-04,203.8
218,2014-01-05,203.8
219,2014-01-06,203.8
220,2014-01-07,203.8
221,2014-01-08,203.8
222,2014-01-09,203.8
223,2014-01-10,203.8
224,2014-01-11,203.8
225,2014-01-12,203.8
226,2014-01-13,203.8
227,2014-01-14,203.8
228,2014-01-15,203.8
229,2014-01-16,203.8
230,2014-01-17,203.8
231,2014-01-18,203.8
232,2014-01-19,203.8
233,2014-01-20,203.8
234,2014-01-21,203.8
235,2014-01-22,203.8
236,2014-01-23,203.8
237,2014-01-24,203.8
238,2014-01-25,203.8
239,2014-01-26,203.8
240,2014-01-27,203.8
241,2014-01-28,203.8
242,2014-01-29,203.8
243,2014-01-30,203.8
244,2014-01-31,203.8
245,2014-02-01,205.7
246,2014-02-02,205.7
247,2014-02-03,205.7
248,2014-02-04,205.7
249,2014-02-05,205.7
250,2014-02-06,205.7
251,2014-02-07,205.7
252,2014-02-08,205.7
253,2014-02-09,205.7
254,2014-02-10,205.7
255,2014-02-11,205.7
256,2014-02-12,205.7
257,2014-02-13,205.7
258,2014-02-14,205.7
259,2014-02-15,205.7
260,2014-02-16,205.7
261,2014-02-17,205.7
262,2014-02-18,205.7
263,2014-02-19,205.7
264,2014-02-20,205.7
265,2014-02-21,205.7
266,2014-02-22,205.7
267,2014-02-23,205.7
268,2014-02-24,205.7
269,2014-02-25,205.7
270,2014-02-26,205.7
271,2014-02-27,205.7
272,2014-02-28,205.7
273,2014-03-01,207.0
