,DATE,MRTSSM44X72USS
0,2013-06-01,415454
1,2013-06-02,415454
2,2013-06-03,415454
3,2013-06-04,415454
4,2013-06-05,415454
5,2013-06-06,415454
6,2013-06-07,415454
7,2013-06-08,415454
8,2013-06-09,415454
9,2013-06-10,415454
10,2013-06-11,415454
11,2013-06-12,415454
12,2013-06-13,415454
13,2013-06-14,415454
14,2013-06-15,415454
15,2013-06-16,415454
16,2013-06-17,415454
17,2013-06-18,415454
18,2013-06-19,415454
19,2013-06-20,415454
20,2013-06-21,415454
21,2013-06-22,415454
22,2013-06-23,415454
23,2013-06-24,415454
24,2013-06-25,415454
25,2013-06-26,415454
26,2013-06-27,415454
27,2013-06-28,415454
28,2013-06-29,415454
29,2013-06-30,415454
30,2013-07-01,418215
31,2013-07-02,418215
32,2013-07-03,418215
33,2013-07-04,418215
34,2013-07-05,418215
35,2013-07-06,418215
36,2013-07-07,418215
37,2013-07-08,418215
38,2013-07-09,418215
39,2013-07-10,418215
40,2013-07-11,418215
41,2013-07-12,418215
42,2013-07-13,418215
43,2013-07-14,418215
44,2013-07-15,418215
45,2013-07-16,418215
46,2013-07-17,418215
47,2013-07-18,418215
48,2013-07-19,418215
49,2013-07-20,418215
50,2013-07-21,418215
51,2013-07-22,418215
52,2013-07-23,418215
53,2013-07-24,418215
54,2013-07-25,418215
55,2013-07-26,418215
56,2013-07-27,418215
57,2013-07-28,418215
58,2013-07-29,418215
59,2013-07-30,418215
60,2013-07-31,418215
61,2013-08-01,417389
62,2013-08-02,417389
63,2013-08-03,417389
64,2013-08-04,417389
65,2013-08-05,417389
66,2013-08-06,417389
67,2013-08-07,417389
68,2013-08-08,417389
69,2013-08-09,417389
70,2013-08-10,417389
71,2013-08-11,417389
72,2013-08-12,417389
73,2013-08-13,417389
74,2013-08-14,417389
75,2013-08-15,417389
76,2013-08-16,417389
77,2013-08-17,417389
78,2013-08-18,417389
79,2013-08-19,417389
80,2013-08-20,417389
81,2013-08-21,417389
82,2013-08-22,417389
83,2013-08-23,417389
84,2013-08-24,417389
85,2013-08-25,417389
86,2013-08-26,417389
87,2013-08-27,417389
88,2013-08-28,417389
89,2013-08-29,417389
90,2013-08-30,417389
91,2013-08-31,417389
92,2013-09-01,417699
93,2013-09-02,417699
94,2013-09-03,417699
95,2013-09-04,417699
96,2013-09-05,417699
97,2013-09-06,417699
98,2013-09-07,417699
99,2013-09-08,417699
100,2013-09-09,417699
101,2013-09-10,417699
102,2013-09-11,417699
103,2013-09-12,417699
104,2013-09-13,417699
105,2013-09-14,417699
106,2013-09-15,417699
107,2013-09-16,417699
108,2013-09-17,417699
109,2013-09-18,417699
110,2013-09-19,417699
111,2013-09-20,417699
112,2013-09-21,417699
113,2013-09-22,417699
114,2013-09-23,417699
115,2013-09-24,417699
116,2013-09-25,417699
117,2013-09-26,417699
118,2013-09-27,417699
119,2013-09-28,417699
120,2013-09-29,417699
121,2013-09-30,417699
122,2013-10-01,419288
123,2013-10-02,419288
124,2013-10-03,419288
125,2013-10-04,419288
126,2013-10-05,419288
127,2013-10-06,419288
128,2013-10-07,419288
129,2013-10-08,419288
130,2013-10-09,419288
131,2013-10-10,419288
132,2013-10-11,419288
133,2013-10-12,419288
134,2013-10-13,419288
135,2013-10-14,419288
136,2013-10-15,419288
137,2013-10-16,419288
138,2013-10-17,419288
139,2013-10-18,419288
140,2013-10-19,419288
141,2013-10-20,419288
142,2013-10-21,419288
143,2013-10-22,419288
144,2013-10-23,419288
145,2013-10-24,419288
146,2013-10-25,419288
147,2013-10-26,419288
148,2013-10-27,419288
149,2013-10-28,419288
150,2013-10-29,419288
151,2013-10-30,419288
152,2013-10-31,419288
153,2013-11-01,420468
154,2013-11-02,420468
155,2013-11-03,420468
156,2013-11-04,420468
157,2013-11-05,420468
158,2013-11-06,420468
159,2013-11-07,420468
160,2013-11-08,420468
161,2013-11-09,420468
162,2013-11-10,420468
163,2013-11-11,420468
164,2013-11-12,420468
165,2013-11-13,420468
166,2013-11-14,420468
167,2013-11-15,420468
168,2013-11-16,420468
169,2013-11-17,420468
170,2013-11-18,420468
171,2013-11-19,420468
172,2013-11-20,420468
173,2013-11-21,420468
174,2013-11-22,420468
175,2013-11-23,420468
176,2013-11-24,420468
177,2013-11-25,420468
178,2013-11-26,420468
179,2013-11-27,420468
180,2013-11-28,420468
181,2013-11-29,420468
182,2013-11-30,420468
183,2013-12-01,422930
184,2013-12-02,422930
185,2013-12-03,422930
186,2013-12-04,422930
187,2013-12-05,422930
188,2013-12-06,422930
189,2013-12-07,422930
190,2013-12-08,422930
191,2013-12-09,422930
192,2013-12-10,422930
193,2013-12-11,422930
194,2013-12-12,422930
195,2013-12-13,422930
196,2013-12-14,422930
197,2013-12-15,422930
198,2013-12-16,422930
199,2013-12-17,422930
200,2013-12-18,422930
201,2013-12-19,422930
202,2013-12-20,422930
203,2013-12-21,422930
204,2013-12-22,422930
205,2013-12-23,422930
206,2013-12-24,422930
207,2013-12-25,422930
208,2013-12-26,422930
209,2013-12-27,422930
210,2013-12-28,422930
211,2013-12-29,422930
212,2013-12-30,422930
213,2013-12-31,422930
214,2014-01-01,419051
215,2014-01-02,419051
216,2014-01-03,419051
217,2014-01-04,419051
218,2014-01-05,419051
219,2014-01-06,419051
220,2014-01-07,419051
221,2014-01-08,419051
222,2014-01-09,419051
223,2014-01-10,419051
224,2014-01-11,419051
225,2014-01-12,419051
226,2014-01-13,419051
227,2014-01-14,419051
228,2014-01-15,419051
229,2014-01-16,419051
230,2014-01-17,419051
231,2014-01-18,419051
232,2014-01-19,419051
233,2014-01-20,419051
234,2014-01-21,419051
235,2014-01-22,419051
236,2014-01-23,419051
237,2014-01-24,419051
238,2014-01-25,419051
239,2014-01-26,419051
240,2014-01-27,419051
241,2014-01-28,419051
242,2014-01-29,419051
243,2014-01-30,419051
244,2014-01-31,419051
245,2014-02-01,424784
246,2014-02-02,424784
247,2014-02-03,424784
248,2014-02-04,424784
249,2014-02-05,424784
250,2014-02-06,424784
251,2014-02-07,424784
252,2014-02-08,424784
253,2014-02-09,424784
254,2014-02-10,424784
255,2014-02-11,424784
256,2014-02-12,424784
257,2014-02-13,424784
258,2014-02-14,424784
259,2014-02-15,424784
260,2014-02-16,424784
261,2014-02-17,424784
262,2014-02-18,424784
263,2014-02-19,424784
264,2014-02-20,424784
265,2014-02-21,424784
266,2014-02-22,424784
267,2014-02-23,424784
268,2014-02-24,424784
269,2014-02-25,424784
270,2014-02-26,424784
271,2014-02-27,424784
272,2014-02-28,424784
273,2014-03-01,429251
274,2014-03-02,429251
275,2014-03-03,429251
276,2014-03-04,429251
277,2014-03-05,429251
278,2014-03-06,429251
279,2014-03-07,429251
280,2014-03-08,429251
281,2014-03-09,429251
282,2014-03-10,429251
283,2014-03-11,429251
284,2014-03-12,429251
285,2014-03-13,429251
286,2014-03-14,429251
287,2014-03-15,429251
288,2014-03-16,429251
289,2014-03-17,429251
290,2014-03-18,429251
291,2014-03-19,429251
292,2014-03-20,429251
293,2014-03-21,429251
294,2014-03-22,429251
295,2014-03-23,429251
296,2014-03-24,429251
297,2014-03-25,429251
