,DATE,UNRATE
0,2013-06-01,7.5
1,2013-06-02,7.5
2,2013-06-03,7.5
3,2013-06-04,7.5
4,2013-06-05,7.5
5,2013-06-06,7.5
6,2013-06-07,7.5
7,2013-06-08,7.5
8,2013-06-09,7.5
9,2013-06-10,7.5
10,2013-06-11,7.5
11,2013-06-12,7.5
12,2013-06-13,7.5
13,2013-06-14,7.5
14,2013-06-15,7.5
15,2013-06-16,7.5
16,2013-06-17,7.5
17,2013-06-18,7.5
18,2013-06-19,7.5
19,2013-06-20,7.5
20,2013-06-21,7.5
21,2013-06-22,7.5
22,2013-06-23,7.5
23,2013-06-24,7.5
24,2013-06-25,7.5
25,2013-06-26,7.5
26,2013-06-27,7.5
27,2013-06-28,7.5
28,2013-06-29,7.5
29,2013-06-30,7.5
30,2013-07-01,7.3
31,2013-07-02,7.3
32,2013-07-03,7.3
33,2013-07-04,7.3
34,2013-07-05,7.3
35,2013-07-06,7.3
36,2013-07-07,7.3
37,2013-07-08,7.3
38,2013-07-09,7.3
39,2013-07-10,7.3
40,2013-07-11,7.3
41,2013-07-12,7.3
42,2013-07-13,7.3
43,2013-07-14,7.3
44,2013-07-15,7.3
45,2013-07-16,7.3
46,2013-07-17,7.3
47,2013-07-18,7.3
48,2013-07-19,7.3
49,2013-07-20,7.3
50,2013-07-21,7.3
51,2013-07-22,7.3
52,2013-07-23,7.3
53,2013-07-24,7.3
54,2013-07-25,7.3
55,2013-07-26,7.3
56,2013-07-27,7.3
57,2013-07-28,7.3
58,2013-07-29,7.3
59,2013-07-30,7.3
60,2013-07-31,7.3
61,2013-08-01,7.2
62,2013-08-02,7.2
63,2013-08-03,7.2
64,2013-08-04,7.2
65,2013-08-05,7.2
66,2013-08-06,7.2
67,2013-08-07,7.2
68,2013-08-08,7.2
69,2013-08-09,7.2
70,2013-08-10,7.2
71,2013-08-11,7.2
72,2013-08-12,7.2
73,2013-08-13,7.2
74,2013-08-14,7.2
75,2013-08-15,7.2
76,2013-08-16,7.2
77,2013-08-17,7.2
78,2013-08-18,7.2
79,2013-08-19,7.2
80,2013-08-20,7.2
81,2013-08-21,7.2
82,2013-08-22,7.2
83,2013-08-23,7.2
84,2013-08-24,7.2
85,2013-08-25,7.2
86,2013-08-26,7.2
87,2013-08-27,7.2
88,2013-08-28,7.2
89,2013-08-29,7.2
90,2013-08-30,7.2
91,2013-08-31,7.2
92,2013-09-01,7.2
93,2013-09-02,7.2
94,2013-09-03,7.2
95,2013-09-04,7.2
96,2013-09-05,7.2
97,2013-09-06,7.2
98,2013-09-07,7.2
99,2013-09-08,7.2
100,2013-09-09,7.2
101,2013-09-10,7.2
102,2013-09-11,7.2
103,2013-09-12,7.2
104,2013-09-13,7.2
105,2013-09-14,7.2
106,2013-09-15,7.2
107,2013-09-16,7.2
108,2013-09-17,7.2
109,2013-09-18,7.2
110,2013-09-19,7.2
111,2013-09-20,7.2
112,2013-09-21,7.2
113,2013-09-22,7.2
114,2013-09-23,7.2
115,2013-09-24,7.2
116,2013-09-25,7.2
117,2013-09-26,7.2
118,2013-09-27,7.2
119,2013-09-28,7.2
120,2013-09-29,7.2
121,2013-09-30,7.2
122,2013-10-01,7.2
123,2013-10-02,7.2
124,2013-10-03,7.2
125,2013-10-04,7.2
126,2013-10-05,7.2
127,2013-10-06,7.2
128,2013-10-07,7.2
129,2013-10-08,7.2
130,2013-10-09,7.2
131,2013-10-10,7.2
132,2013-10-11,7.2
133,2013-10-12,7.2
134,2013-10-13,7.2
135,2013-10-14,7.2
136,2013-10-15,7.2
137,2013-10-16,7.2
138,2013-10-17,7.2
139,2013-10-18,7.2
140,2013-10-19,7.2
141,2013-10-20,7.2
142,2013-10-21,7.2
143,2013-10-22,7.2
144,2013-10-23,7.2
145,2013-10-24,7.2
146,2013-10-25,7.2
147,2013-10-26,7.2
148,2013-10-27,7.2
149,2013-10-28,7.2
150,2013-10-29,7.2
151,2013-10-30,7.2
152,2013-10-31,7.2
153,2013-11-01,6.9
154,2013-11-02,6.9
155,2013-11-03,6.9
156,2013-11-04,6.9
157,2013-11-05,6.9
158,2013-11-06,6.9
159,2013-11-07,6.9
160,2013-11-08,6.9
161,2013-11-09,6.9
162,2013-11-10,6.9
163,2013-11-11,6.9
164,2013-11-12,6.9
165,2013-11-13,6.9
166,2013-11-14,6.9
167,2013-11-15,6.9
168,2013-11-16,6.9
169,2013-11-17,6.9
170,2013-11-18,6.9
171,2013-11-19,6.9
172,2013-11-20,6.9
173,2013-11-21,6.9
174,2013-11-22,6.9
175,2013-11-23,6.9
176,2013-11-24,6.9
177,2013-11-25,6.9
178,2013-11-26,6.9
179,2013-11-27,6.9
180,2013-11-28,6.9
181,2013-11-29,6.9
182,2013-11-30,6.9
183,2013-12-01,6.7
184,2013-12-02,6.7
185,2013-12-03,6.7
186,2013-12-04,6.7
187,2013-12-05,6.7
188,2013-12-06,6.7
189,2013-12-07,6.7
190,2013-12-08,6.7
191,2013-12-09,6.7
192,2013-12-10,6.7
193,2013-12-11,6.7
194,2013-12-12,6.7
195,2013-12-13,6.7
196,2013-12-14,6.7
197,2013-12-15,6.7
198,2013-12-16,6.7
199,2013-12-17,6.7
200,2013-12-18,6.7
201,2013-12-19,6.7
202,2013-12-20,6.7
203,2013-12-21,6.7
204,2013-12-22,6.7
205,2013-12-23,6.7
206,2013-12-24,6.7
207,2013-12-25,6.7
208,2013-12-26,6.7
209,2013-12-27,6.7
210,2013-12-28,6.7
211,2013-12-29,6.7
212,2013-12-30,6.7
213,2013-12-31,6.7
214,2014-01-01,6.6
215,2014-01-02,6.6
216,2014-01-03,6.6
217,2014-01-04,6.6
218,2014-01-05,6.6
219,2014-01-06,6.6
220,2014-01-07,6.6
221,2014-01-08,6.6
222,2014-01-09,6.6
223,2014-01-10,6.6
224,2014-01-11,6.6
225,2014-01-12,6.6
226,2014-01-13,6.6
227,2014-01-14,6.6
228,2014-01-15,6.6
