Date,OPEN,HIGH,LOW,CLOSE,VOLUME,DIVIDEND,REVENUE,NET INCOME,P/E,P/SALES,CURRENT RATIO,DEBT RATIO,QUICK RATIO,GROSS PROFIT MARGIN,NET PROFIT MARGIN,RETURN ON ASSETS,RETURN ON EQUITY
2020-11-25,30.0,31.0,26.5,26.5,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-27,26.35,26.35,22.3,22.3,5200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-30,23.29,23.5,19.19,19.19,65100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,21.7,22.11,16.74,18.41,8782281,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-02,18.13,18.6,17.26,18.25,2105420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-03,18.39,19.14,18.03,18.75,1555631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,18.75,19.32,18.66,19.0,1390792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-07,18.99,19.21,17.75,18.0,1481617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-08,17.75,18.03,16.58,17.23,3246478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-09,17.45,17.7,16.95,17.29,1793395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-10,17.1,17.7,17.09,17.62,728813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-11,17.47,17.79,17.32,17.72,844653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-14,18.08,18.56,17.95,17.98,1038531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-15,18.01,18.27,17.44,17.99,964104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-16,18.0,18.4,17.9,18.03,542386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-17,17.88,18.82,17.53,18.75,671163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-18,18.81,18.98,17.52,18.16,1919807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-21,17.83,18.19,17.38,18.01,674265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-22,18.06,18.06,17.1,17.13,768004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-23,17.21,17.45,16.52,16.75,798663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-24,16.76,17.06,16.54,16.78,356598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-28,16.98,17.14,16.2,16.37,1187380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-29,16.4,17.0,16.38,16.92,474890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-30,17.08,18.3,17.01,18.12,413752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,18.07,19.38,17.92,18.96,541665,0.0,1734919000.0,-265912000.0,-3.596141129396192,0.5511825508856609,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-04,19.13,19.25,17.99,18.81,555649,0.0,1734919000.0,-265912000.0,-3.5676906457775504,0.5468219294387806,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-05,18.65,19.99,18.53,19.57,528370,0.0,1734919000.0,-265912000.0,-3.711839762778664,0.5689157447696405,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-06,19.65,20.93,19.65,20.85,1231027,0.0,1734919000.0,-265912000.0,-3.9546172229910654,0.6061263811163519,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-07,21.0,21.64,20.9,21.37,984447,0.0,1734919000.0,-265912000.0,-4.053245566202353,0.6212432021322033,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-08,21.75,21.75,20.09,20.19,487890,0.0,1734919000.0,-265912000.0,-3.829435095069046,0.5869396467500788,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-11,20.12,20.55,19.62,20.51,511733,0.0,1734919000.0,-265912000.0,-3.890129460122146,0.5962423058367566,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-12,20.57,20.9,20.25,20.85,548027,0.0,1734919000.0,-265912000.0,-3.9546172229910654,0.6061263811163519,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-13,20.71,21.67,20.68,21.5,587260,0.0,1734919000.0,-265912000.0,-4.077902652005175,0.6250224073861661,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-14,21.61,22.99,21.06,22.48,783646,0.0,1734919000.0,-265912000.0,-4.263779144980295,0.653511800839117,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-15,22.13,22.71,20.89,21.47,668969,0.0,1734919000.0,-265912000.0,-4.072212555281447,0.62415028309679,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-19,21.75,21.84,20.98,21.07,366815,0.0,1734919000.0,-265912000.0,-3.9963445989650714,0.6125219592384428,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-20,21.01,21.34,20.3,20.56,408562,0.0,1734919000.0,-265912000.0,-3.8996129546616927,0.5976958463190499,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-21,20.75,20.79,20.18,20.19,364403,0.0,1734919000.0,-265912000.0,-3.829435095069046,0.5869396467500788,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-22,19.93,20.7,19.52,20.7,299251,0.0,1734919000.0,-265912000.0,-3.926166739372424,0.6017657596694715,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-25,20.56,21.49,20.51,20.89,315647,0.0,1734919000.0,-265912000.0,-3.9622040186227028,0.6072892135021866,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-26,20.89,21.06,19.2,19.32,305182,0.0,1734919000.0,-265912000.0,-3.6644222900809296,0.5616480423581734,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-27,18.97,19.17,17.9,18.01,482682,0.0,1734919000.0,-265912000.0,-3.4159547331448,0.5235652817220862,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-28,18.11,18.2,17.08,17.46,615720,0.0,1734919000.0,-265912000.0,-3.311636293209784,0.5075763364168586,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-01-29,17.43,17.81,16.76,16.94,502875,0.0,1734919000.0,-265912000.0,-3.213007949998496,0.4924595154010072,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-02-01,17.1,18.36,16.64,17.96,463752,0.0,1734919000.0,-265912000.0,-3.406471238605253,0.5221117412397928,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-02-02,18.19,18.72,18.01,18.36,305746,0.0,1734919000.0,-265912000.0,-3.4823391949216282,0.53374006509814,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-02-03,18.37,18.55,17.89,17.99,249748,0.0,1734919000.0,-265912000.0,-3.412161335328981,0.5229838655291686,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
2021-02-04,18.0,18.98,17.79,18.96,332035,0.0,1734919000.0,-265912000.0,-3.596141129396192,0.5511825508856609,2.754962531819839,0.0,0.3752372643968799,0.624549042347222,-0.15327055614700166,-0.1964687463288453,-0.3738263100551787
