Date,OPEN,HIGH,LOW,CLOSE,VOLUME,DIVIDEND,REVENUE,NET INCOME,P/E,P/SALES,CURRENT RATIO,DEBT RATIO,QUICK RATIO,GROSS PROFIT MARGIN,NET PROFIT MARGIN,RETURN ON ASSETS,RETURN ON EQUITY
2013-05-20,45.13,45.42,44.59,44.67,81300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-21,44.77,44.77,44.02,44.22,289700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-22,44.18,44.75,42.94,43.51,168400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-23,43.21,44.07,42.93,43.53,103700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-24,43.35,44.07,43.12,43.65,52400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-28,44.17,44.98,43.57,44.66,102100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29,44.42,45.1,43.95,44.7,204900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-30,44.87,45.07,43.99,44.26,72400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-31,44.01,44.61,43.76,44.01,89800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-03,44.03,44.63,43.55,44.55,112400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-04,44.76,44.98,44.09,44.6,134200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-05,44.5,44.86,43.43,43.73,56900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-06,43.83,44.48,43.28,44.48,62100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-07,44.5,45.27,44.15,44.5,104900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-10,44.76,44.78,43.85,44.43,115500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-11,43.95,46.09,43.34,45.67,122900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-12,45.89,46.05,44.99,45.35,77300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-13,45.24,46.44,45.24,46.39,107500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-14,46.26,46.73,46.11,46.53,100800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-17,46.84,46.94,46.42,46.65,76400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-18,46.77,46.97,46.43,46.89,65900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-19,46.74,46.96,45.59,45.89,96200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-20,45.3,46.39,44.85,45.38,110800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-21,45.58,46.61,45.58,46.02,178900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-24,45.53,46.92,44.85,46.42,81800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-25,46.79,46.79,45.46,46.05,133000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-26,46.26,46.72,45.66,46.38,89200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-27,46.73,46.78,46.26,46.7,107000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-28,46.67,47.97,46.5,47.51,177200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,47.62,48.57,47.36,48.36,74200,0.0,182033000.0,27824000.0,39.05351566992525,5.969384781880208,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-02,48.19,48.51,47.27,47.91,47700,0.0,182033000.0,27824000.0,38.69011446952271,5.913838397433432,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-03,47.65,48.44,47.2,47.79,24200,0.0,182033000.0,27824000.0,38.5932074827487,5.899026028247626,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-05,48.6,49.35,47.9,49.3,49400,0.0,182033000.0,27824000.0,39.812620399654975,6.085415007169029,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-08,49.31,49.74,49.28,49.53,81100,0.0,182033000.0,27824000.0,39.99835879097182,6.113805381441827,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-09,49.7,50.48,48.88,50.39,108200,0.0,182033000.0,27824000.0,40.69285886285221,6.21996069394011,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-10,50.25,50.74,50.1,50.63,49600,0.0,182033000.0,27824000.0,40.88667283640023,6.249585432311724,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-11,50.91,51.72,50.65,51.41,93500,0.0,182033000.0,27824000.0,41.51656825043128,6.345865832019468,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-12,51.01,51.84,50.55,50.56,73800,0.0,182033000.0,27824000.0,40.83014376078206,6.240944883620004,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-15,50.75,51.52,49.72,50.07,165500,0.0,182033000.0,27824000.0,40.43444023145486,6.180461042777958,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-16,50.16,50.4,49.43,49.75,76200,0.0,182033000.0,27824000.0,40.1760216000575,6.140961391615806,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-17,49.68,50.1,49.27,49.94,69900,0.0,182033000.0,27824000.0,40.329457662449684,6.164414309493333,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-18,50.18,50.19,49.58,50.0,101100,0.0,182033000.0,27824000.0,40.377911155836685,6.171820494086237,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-19,49.75,50.42,49.75,50.29,80300,0.0,182033000.0,27824000.0,40.61210304054054,6.207617052951937,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-22,49.69,49.97,48.16,49.51,133100,0.0,182033000.0,27824000.0,39.982207626509485,6.111336653244192,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-23,49.69,49.98,48.84,49.95,85900,0.0,182033000.0,27824000.0,40.337533244680856,6.165648673592151,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-24,50.06,50.06,49.23,49.29,108800,0.0,182033000.0,27824000.0,39.8045448174238,6.084180643070212,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-25,49.36,51.37,48.92,49.42,204300,0.0,182033000.0,27824000.0,39.909527386428984,6.100227376354837,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-26,39.88,42.48,39.75,41.47,1066500,0.0,182033000.0,27824000.0,33.48943951265095,5.118907917795125,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-29,41.55,42.08,40.44,40.86,245900,0.0,182033000.0,27824000.0,32.99682899654974,5.043611707767273,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-30,40.87,41.36,40.57,41.3,133400,0.0,182033000.0,27824000.0,33.3521546147211,5.097923728115232,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-07-31,41.31,42.23,41.24,42.1,170900,0.0,182033000.0,27824000.0,33.99820119321449,5.196672856020612,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-08-01,41.96,42.18,40.72,40.96,240800,0.0,182033000.0,27824000.0,33.07758481886142,5.055955348755446,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
2013-08-02,40.7,41.03,40.26,40.69,216000,0.0,182033000.0,27824000.0,32.85954409861989,5.022627518087379,8.711601073856173,0.009795499205103139,6.729079796652767,0.5439563156131031,0.1528514060637357,0.1373739767554384,0.15508525118303784
