Date,OPEN,HIGH,LOW,CLOSE,VOLUME,DIVIDEND,REVENUE,NET INCOME,P/E,P/SALES,CURRENT RATIO,DEBT RATIO,QUICK RATIO,GROSS PROFIT MARGIN,NET PROFIT MARGIN,RETURN ON ASSETS,RETURN ON EQUITY
2013-05-20,47.12,47.14,46.07,46.26,3537800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-21,46.19,46.96,46.17,46.54,4708800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-22,46.46,48.0,45.85,46.76,5203500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-23,46.12,46.95,46.02,46.59,3306200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-24,46.25,46.48,45.31,45.44,4511700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-28,45.89,46.04,44.7,45.39,6181800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29,44.89,45.18,43.79,43.88,6908400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-30,44.07,45.12,44.07,44.55,4852200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-31,44.27,44.69,42.68,42.69,9308800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-03,42.88,43.58,42.75,43.36,7176800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-04,43.42,44.47,43.38,43.63,4528400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-05,43.49,43.9,42.69,43.04,4801300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-06,43.22,43.57,42.65,43.5,4261300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-07,43.72,44.27,43.5,44.0,5463200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-10,44.33,44.33,43.22,43.92,4702700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-11,43.31,44.05,43.05,43.59,3574800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-12,43.91,44.0,42.72,42.77,3742600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-13,42.42,43.2,40.1,43.15,6096500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-14,42.98,43.5,42.5,43.21,4078500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-17,43.4,43.5,42.68,43.01,3457700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-18,42.97,43.56,42.63,43.54,3644900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-19,43.56,43.83,43.01,43.04,3663300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-20,42.65,42.78,40.91,41.06,7474900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-21,41.66,42.71,41.2,42.62,9825700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-24,42.07,42.4,41.32,41.89,6042400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-25,42.15,42.77,41.61,42.63,4686900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-26,43.1,43.61,43.02,43.38,4733700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-27,43.56,43.98,42.73,43.13,5163900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-28,42.53,42.97,41.32,41.34,10753100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,41.4,41.93,41.07,41.61,4588200,0.0,18735000000.0,5161000000.0,12.8353264871149,3.5357950360288233,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-02,41.58,42.57,41.58,42.21,4365900,0.0,18735000000.0,5161000000.0,13.020406897888005,3.5867798238590876,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-03,41.88,42.31,41.61,42.23,2417500,0.0,18735000000.0,5161000000.0,13.026576244913775,3.5884793167867626,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-05,42.45,42.83,42.31,42.72,2743700,0.0,18735000000.0,5161000000.0,13.177725247045146,3.630116893514812,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-08,42.9,43.69,42.82,43.68,3978300,0.0,18735000000.0,5161000000.0,13.473853904282116,3.7116925540432346,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-09,44.0,44.23,43.25,43.32,3805700,0.0,18735000000.0,5161000000.0,13.362805657818251,3.6811016813450763,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-10,43.36,44.12,43.36,43.91,3080100,0.0,18735000000.0,5161000000.0,13.544801395078471,3.7312367227115026,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-11,43.94,44.11,43.33,43.78,4061400,0.4,18735000000.0,5161000000.0,13.504700639410967,3.7201900186816124,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-12,43.93,45.11,43.8,45.05,5693900,0.0,18735000000.0,5161000000.0,13.896454175547373,3.8281078195890044,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-15,44.95,44.97,44.54,44.62,3265800,0.0,18735000000.0,5161000000.0,13.763813214493315,3.7915687216439817,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-16,44.54,44.77,43.7,43.81,3714500,0.0,18735000000.0,5161000000.0,13.513954659949622,3.722739258073126,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-17,43.97,44.15,43.74,43.96,3645400,0.0,18735000000.0,5161000000.0,13.560224762642898,3.7354854550306915,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-18,43.96,44.56,43.81,44.32,3043700,0.0,18735000000.0,5161000000.0,13.671273009106761,3.76607632772885,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-19,44.49,44.91,44.12,44.52,4317900,0.0,18735000000.0,5161000000.0,13.732966479364464,3.783071257005605,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-22,44.3,45.1,43.8,44.97,3810500,0.0,18735000000.0,5161000000.0,13.871776787444293,3.821309847878303,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-23,44.92,45.09,44.23,44.31,3535100,0.0,18735000000.0,5161000000.0,13.668188335593877,3.7652265812650123,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-24,44.28,44.37,43.39,43.64,3088100,0.0,18735000000.0,5161000000.0,13.461515210230575,3.708293568187884,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-25,43.41,44.43,43.35,44.24,4088500,0.0,18735000000.0,5161000000.0,13.646595621003682,3.7592783560181484,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-26,45.01,45.12,44.17,44.79,4491100,0.0,18735000000.0,5161000000.0,13.81625266421236,3.8060144115292234,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-29,44.72,45.45,44.47,45.06,4326200,0.0,18735000000.0,5161000000.0,13.89953884906026,3.8289575660528428,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
2013-07-30,45.08,45.23,44.2,44.7,3619700,0.0,18735000000.0,5161000000.0,13.788490602596397,3.798366693354684,2.3015429831006613,0.528771049802938,1.8382072005878032,0.7605551107552709,0.27547371230317585,0.18491580078824793,1.4505340078695896
